1, 95, 16, 0
2, 95, 16, 0
3, 95, 16, 0
4, 95, 16, 0
0, 94, 16, 0
0, 93, 16, 0
0, 92, 16, 0
1, 91, 16, 0
2, 91, 16, 0
3, 91, 16, 0
4, 91, 16, 0
7, 95, 16, 0
8, 95, 16, 0
9, 95, 16, 0
6, 94, 16, 0
10, 94, 16, 0
6, 93, 16, 0
10, 93, 16, 0
6, 92, 16, 0
10, 92, 16, 0
7, 91, 16, 0
8, 91, 16, 0
9, 91, 16, 0
12, 95, 16, 0
15, 95, 16, 0
12, 94, 16, 0
14, 94, 16, 0
12, 93, 16, 0
13, 93, 16, 0
12, 92, 16, 0
12, 91, 16, 0
18, 95, 16, 0
19, 95, 16, 0
20, 95, 16, 0
21, 95, 16, 0
17, 94, 16, 0
17, 93, 16, 0
17, 92, 16, 0
18, 91, 16, 0
19, 91, 16, 0
20, 91, 16, 0
21, 91, 16, 0
24, 97, 16, 0
24, 96, 16, 0
23, 95, 16, 0
24, 95, 16, 0
25, 95, 16, 0
24, 94, 16, 0
24, 93, 16, 0
24, 92, 16, 0
24, 91, 16, 0
25, 91, 16, 0
28, 97, 16, 0
29, 97, 16, 0
28, 96, 16, 0
27, 95, 16, 0
28, 95, 16, 0
29, 95, 16, 0
28, 94, 16, 0
28, 93, 16, 0
28, 92, 16, 0
28, 91, 16, 0
33, 98, 16, 0
34, 98, 16, 0
32, 97, 16, 0
32, 96, 16, 0
31, 95, 16, 0
32, 95, 16, 0
31, 94, 16, 0
32, 94, 16, 0
32, 93, 16, 0
32, 92, 16, 0
33, 91, 16, 0
34, 91, 16, 0
36, 95, 16, 0
42, 95, 16, 0
36, 94, 16, 0
39, 94, 16, 0
42, 94, 16, 0
36, 93, 16, 0
39, 93, 16, 0
42, 93, 16, 0
36, 92, 16, 0
38, 92, 16, 0
40, 92, 16, 0
42, 92, 16, 0
37, 91, 16, 0
41, 91, 16, 0
47, 97, 16, 0
46, 96, 16, 0
47, 96, 16, 0
45, 95, 16, 0
47, 95, 16, 0
44, 94, 16, 0
47, 94, 16, 0
44, 93, 16, 0
45, 93, 16, 0
46, 93, 16, 0
47, 93, 16, 0
48, 93, 16, 0
47, 92, 16, 0
47, 91, 16, 0
50, 97, 16, 0
50, 96, 16, 0
50, 95, 16, 0
50, 94, 16, 0
50, 93, 16, 0
50, 92, 16, 0
