timestamp,x,y,left_button_holding,right_button_holding
1723777881.888764,38,-87,True,False
1723777881.893401,76,-174,True,False
1723777881.898329,114,-297,True,False
1723777881.899345,114,-420,True,False
1723777881.902289,114,-359,True,False
1723777881.905259,114,-335,True,False
1723777881.907276,94,-311,True,False
1723777881.908277,74,-323,True,False
1723777881.910269,54,-407,True,False
1723777881.912265,15,-491,True,False
1723777881.913259,-24,-612,True,False
1723777881.916284,-63,-513,True,False
1723777881.917282,-122,-414,True,False
1723777881.918251,-181,-387,True,False
1723777881.921285,-240,-397,True,False
1723777881.922274,-318,-407,True,False
1723777881.923253,-396,-489,True,False
1723777881.925254,-474,-607,True,False
1723777881.92628,-591,-725,True,False
1723777881.927252,-708,-660,True,False
1723777881.930258,-589,-631,True,False
1723777881.93229,-489,-638,True,False
1723777881.93327,-389,-718,True,False
1723777881.934256,-289,-614,True,False
1723777881.936262,-189,-546,True,False
1723777881.937269,-128,-478,True,False
1723777881.939252,-67,-447,True,False
1723777881.940275,-26,-488,True,False
1723777881.942252,15,-602,True,False
1723777881.943275,17,-496,True,False
1723777881.945256,19,-462,True,False
1723777881.946254,-18,-465,True,False
1723777881.94825,-55,-540,True,False
1723777881.949258,-111,-432,True,False
1723777881.95025,-167,-360,True,False
1723777881.951254,-262,-288,True,False
1723777881.952251,-357,-288,True,False
1723777881.953249,-452,-361,True,False
1723777881.954258,-566,-434,True,False
1723777881.95525,-463,-323,True,False
1723777881.956248,-360,-249,True,False
1723777881.95725,-257,-247,True,False
1723777881.958254,-193,-318,True,False
1723777881.960255,-129,-205,True,False
1723777881.961254,-104,-128,True,False
1723777881.962252,-118,-51,True,False
1723777881.963251,-132,-47,True,False
1723777881.964255,-146,-79,True,False
1723777881.965251,-180,-184,True,False
1723777881.966248,-214,-105,True,False
1723777881.96725,-287,-26,True,False
1723777881.96825,-360,-20,True,False
1723777881.969254,-433,-86,True,False
1723777881.970253,-544,-188,True,False
1723777881.971257,-438,-107,True,False
1723777881.972254,-332,-98,True,False
1723777881.974267,-265,-162,True,False
1723777881.97526,-218,-262,True,False
1723777881.976249,-171,-179,True,False
1723777881.977255,-124,-168,True,False
1723777881.978251,-116,-157,True,False
1723777881.979248,-108,-219,True,False
1723777881.980247,-100,-317,True,False
1723777881.981255,-131,-231,True,False
1723777881.983275,-181,-218,True,False
1723777881.984287,-231,-241,True,False
1723777881.98525,-281,-337,True,False
1723777881.986251,-370,-249,True,False
1723777881.988265,-498,-234,True,False
1723777881.989249,-626,-255,True,False
1723777881.99025,-537,-348,True,False
1723777881.991261,-448,-258,True,False
1723777881.993268,-378,-204,True,False
1723777881.994251,-308,-223,True,False
1723777881.99525,-277,-314,True,False
1723777881.99625,-246,-222,True,False
1723777881.997251,-215,-166,True,False
1723777881.998252,-223,-255,True,False
1723777882.000271,-231,-160,True,False
1723777882.001255,-278,-138,True,False
1723777882.002252,-325,-152,True,False
1723777882.003249,-411,-238,True,False
1723777882.005256,-536,-213,True,False
1723777882.007261,-661,-261,True,False
1723777882.008251,-550,-345,True,False
1723777882.009251,-478,-246,True,False
1723777882.010251,-406,-219,True,False
1723777882.012278,-373,-337,True,False
1723777882.01325,-340,-235,True,False
1723777882.014252,-345,-206,True,False
1723777882.016258,-370,-249,True,False
1723777882.017263,-434,-181,True,False
1723777882.018252,-498,-186,True,False
1723777882.019249,-601,-227,True,False
1723777882.021318,-487,-157,True,False
1723777882.022257,-373,-160,True,False
1723777882.023249,-298,-235,True,False
1723777882.025252,-262,-199,True,False
1723777882.027273,-265,-199,True,False
1723777882.028255,-268,-272,True,False
1723777882.029251,-290,-161,True,False
1723777882.030249,-312,-123,True,False
1723777882.031254,-373,-121,True,False
1723777882.032252,-473,-192,True,False
1723777882.033249,-573,-79,True,False
1723777882.034253,-673,-39,True,False
1723777882.035261,-773,-71,True,False
1723777882.037284,-656,-139,True,False
1723777882.038251,-539,-24,True,False
1723777882.039249,-461,55,True,False
1723777882.040255,-422,61,True,False
1723777882.041254,-383,-5,True,False
1723777882.042247,-344,112,True,False
1723777882.043249,-344,157,True,False
1723777882.045276,-363,57,True,False
1723777882.046251,-421,140,True,False
1723777882.047251,-479,151,True,False
1723777882.048252,-537,126,True,False
1723777882.049249,-634,28,True,False
1723777882.05127,-731,114,True,False
1723777882.052251,-611,164,True,False
1723777882.053398,-530,214,True,False
1723777882.054253,-449,119,True,False
1723777882.056282,-368,207,True,False
1723777882.057252,-287,259,True,False
1723777882.058251,-225,311,True,False
1723777882.05925,-202,290,True,False
1723777882.060281,-179,197,True,False
1723777882.062292,-156,324,True,False
1723777882.06327,-172,378,True,False
1723777882.065284,-227,360,True,False
1723777882.067303,-282,305,True,False
1723777882.068269,-357,178,True,False
1723777882.069264,-432,271,True,False
1723777882.071278,-546,291,True,False
1723777882.073301,-660,275,True,False
1723777882.074271,-774,186,True,False
1723777882.075265,-651,97,True,False
1723777882.076264,-528,-28,True,False
1723777882.078305,-405,31,True,False
1723777882.079265,-321,90,True,False
1723777882.080266,-237,112,True,False
1723777882.082306,-172,62,True,False
1723777882.084311,-107,-24,True,False
1723777882.086322,-42,-147,True,False
1723777882.087269,-16,-270,True,False
1723777882.089291,10,-173,True,False
1723777882.091292,16,-148,True,False
1723777882.093306,22,-160,True,False
1723777882.096305,9,-208,True,False
1723777882.098303,-24,-292,True,False
1723777882.101278,-57,-412,True,False
1723777882.104294,-109,-313,True,False
1723777882.107294,-181,-250,True,False
1723777882.109294,-253,-259,True,False
1723777882.113281,-344,-305,True,False
1723777882.115261,-455,-387,True,False
1723777882.119286,-566,-505,True,False
1723777882.120284,-460,-623,True,False
1723777882.122301,-354,-521,True,False
1723777882.123266,-267,-419,True,False
1723777882.12427,-180,-390,True,False
1723777882.127287,-93,-397,True,False
1723777882.128252,-26,-404,True,False
1723777882.130282,2,-484,True,False
1723777882.13327,30,-600,True,False
1723777882.135267,58,-496,True,False
1723777882.136252,67,-392,True,False
1723777882.138266,37,-288,True,False
1723777882.139251,7,-220,True,False
1723777882.142283,-23,-225,True,False
1723777882.143263,-72,-230,True,False
1723777882.145269,-121,-271,True,False
1723777882.146309,-190,-312,True,False
1723777882.147255,-259,-426,True,False
1723777882.150277,-328,-320,True,False
1723777882.151256,-436,-214,True,False
1723777882.152255,-544,-180,True,False
1723777882.154277,-671,-146,True,False
1723777882.155254,-798,-149,True,False
1723777882.157278,-925,-188,True,False
1723777882.159281,-816,-227,True,False
1723777882.160252,-707,-338,True,False
1723777882.161254,-637,-449,True,False
1723777882.162655,-567,-341,True,False
1723777882.165263,-497,-305,True,False
1723777882.16625,-446,-269,True,False
1723777882.167251,-395,-269,True,False
1723777882.170283,-344,-342,True,False
1723777882.172287,-313,-415,True,False
1723777882.174279,-282,-524,True,False
1723777882.176286,-251,-413,True,False
1723777882.177254,-239,-302,True,False
1723777882.180261,-227,-228,True,False
1723777882.183282,-215,-190,True,False
1723777882.184257,-242,-152,True,False
1723777882.187272,-269,-150,True,False
1723777882.192289,-316,-184,True,False
1723777882.195285,-363,-255,True,False
1723777882.203311,-410,-362,True,False
1723777882.205335,-476,-469,True,False
1723777882.208267,-542,-356,True,False
1723777882.213351,-627,-243,True,False
1723777882.215306,-712,-203,True,False
1723777882.218268,-797,-199,True,False
1723777882.226299,-882,-231,True,False
1723777882.230335,-967,-299,True,False
1723777882.236344,-1052,-404,True,False
1723777882.240327,-1137,-289,True,False
1723777882.244291,-1222,-210,True,False
1723777882.248284,-1327,-131,True,False
1723777882.251277,-1432,-88,True,False
1723777882.255307,-1537,-81,True,False
1723777882.25829,-1642,-111,True,False
1723777882.262299,-1747,-177,True,False
1723777882.267309,-1852,-279,True,False
1723777882.27327,-1957,-161,True,False
1723777882.279313,-2062,-80,True,False
1723777882.286309,-2167,-35,True,False
1723777882.292475,-2272,-26,True,False
1723777882.301281,-2377,-53,True,False
1723777882.306501,-2482,-117,True,False
1723777882.320283,-2587,-217,True,False
1723777882.333304,-2692,-97,True,False
1723777882.354323,-2777,23,True,False
1723777882.367314,-2843,143,True,False
1723777882.370342,-2909,227,True,False
1723777882.415473,-2956,311,True,False
1723777882.43532,-3003,395,True,False
1723777882.477441,-3050,442,True,False
1723777882.48447,-3077,489,True,False
1723777882.507362,-3104,500,True,False
1723777882.564422,-3131,511,True,False
1723777882.609519,-3158,486,True,False
1723777882.611353,-3205,461,True,False
1723777882.616337,-3271,436,True,False
1723777882.618299,-3337,375,True,False
1723777882.621322,-3422,314,True,False
1723777882.626334,-3527,253,True,False
1723777882.629328,-3651,192,True,False
1723777882.630278,-3775,94,True,False
1723777882.633293,-3663,-4,True,False
1723777882.635294,-3570,-102,True,False
1723777882.63828,-3497,-200,True,False
1723777882.63927,-3424,-114,True,False
1723777882.641287,-3390,-28,True,False
1723777882.644303,-3375,58,True,False
1723777882.64631,-3380,144,True,False
1723777882.649315,-3404,230,True,False
1723777882.65231,-3448,316,True,False
1723777882.654304,-3511,402,True,False
1723777882.657301,-3594,488,True,False
1723777882.659301,-3696,574,True,False
1723777882.662876,-3817,660,True,False
1723777882.66428,-3702,746,True,False
1723777882.667303,-3606,832,True,False
1723777882.670287,-3530,918,True,False
1723777882.671266,-3473,1004,True,False
1723777882.674307,-3455,1090,True,False
1723777882.676339,-3457,1176,True,False
1723777882.678285,-3478,1262,True,False
1723777882.680327,-3519,1348,True,False
1723777882.683271,-3579,1434,True,False
1723777882.684266,-3659,1520,True,False
1723777882.687312,-3778,1606,True,False
1723777882.689294,-3660,1692,True,False
1723777882.691289,-3562,1778,True,False
1723777882.69331,-3483,1864,True,False
1723777882.69527,-3423,1950,True,False
1723777882.697297,-3383,2036,True,False
1723777882.699286,-3362,2122,True,False
1723777882.701291,-3361,2208,True,False
1723777882.703285,-3379,2294,True,False
1723777882.705297,-3436,2380,True,False
1723777882.707306,-3513,2466,True,False
1723777882.714854,-3609,2552,True,False
1723777882.722895,-3725,2638,True,False
1723777882.722973,-3604,2724,True,False
1723777882.723006,-3503,2810,True,False
1723777882.723036,-3441,2896,True,False
1723777882.723065,-3398,2982,True,False
1723777882.72309,-3375,3068,True,False
1723777882.727149,-3371,3154,True,False
1723777882.727302,-3386,3240,True,False
1723777882.730281,-3421,3326,True,False
1723777882.731251,-3475,3412,True,False
1723777882.73528,-3549,3498,True,False
1723777882.737296,-3642,3584,True,False
1723777882.740289,-3755,3486,True,False
1723777882.741257,-3651,3388,True,False
1723777882.74527,-3566,3290,True,False
1723777882.747287,-3501,3192,True,False
1723777882.751265,-3455,3094,True,False
1723777882.753291,-3429,2996,True,False
1723777882.757209,-3422,2898,True,False
1723777882.75826,-3435,2800,True,False
1723777882.76126,-3467,2702,True,False
1723777882.763282,-3519,2604,True,False
1723777882.766294,-3590,2506,True,False
1723777882.768282,-3680,2408,True,False
1723777882.771305,-3790,2310,True,False
1723777882.773279,-3663,2212,True,False
1723777882.776313,-3556,2114,True,False
1723777882.778283,-3468,2016,True,False
1723777882.78128,-3400,1918,True,False
1723777882.783303,-3351,1820,True,False
1723777882.78632,-3341,1722,True,False
1723777882.788286,-3351,1624,True,False
1723777882.791287,-3380,1526,True,False
1723777882.792267,-3429,1428,True,False
1723777882.796306,-3497,1330,True,False
1723777882.7983,-3585,1232,True,False
1723777882.801278,-3692,1134,True,False
1723777882.80538,-3818,1036,True,False
1723777882.807287,-3708,938,True,False
1723777882.809302,-3617,840,True,False
1723777882.813311,-3546,742,True,False
1723777882.818352,-3494,644,True,False
1723777882.820286,-3462,546,True,False
1723777882.822285,-3449,448,True,False
1723777882.826296,-3456,350,True,False
1723777882.828269,-3482,252,True,False
1723777882.829269,-3508,338,True,False
1723777882.836209,-3573,424,True,False
1723777882.838605,-3658,510,True,False
1723777882.838641,-3762,596,True,False
1723777882.840286,-3886,682,True,False
1723777882.845311,-3773,768,True,False
1723777882.847305,-3680,854,True,False
1723777882.848273,-3587,904,True,False
1723777882.851288,-3513,954,True,False
1723777882.855322,-3458,1004,True,False
1723777882.859307,-3423,1054,True,False
1723777882.863307,-3407,1104,True,False
1723777882.867292,-3411,1154,True,False
1723777882.871304,-3434,1204,True,False
1723777882.874286,-3477,1254,True,False
1723777882.879318,-3539,1304,True,False
1723777882.883291,-3621,1317,True,False
1723777882.887296,-3722,1330,True,False
1723777882.891306,-3843,1343,True,False
1723777882.896301,-3727,1356,True,False
1723777882.899301,-3631,1369,True,False
1723777882.905298,-3554,1382,True,False
1723777882.907276,-3497,1395,True,False
1723777882.909264,-3440,1372,True,False
1723777882.914289,-3402,1349,True,False
1723777882.917309,-3384,1326,True,False
1723777882.92529,-3385,1303,True,False
1723777882.92727,-3405,1280,True,False
1723777882.936327,-3445,1257,True,False
1723777882.941313,-3504,1234,True,False
1723777882.954303,-3583,1211,True,False
1723777882.960288,-3681,1188,True,False
1723777882.971329,-3779,1129,True,False
1723777882.972283,-3897,1070,True,False
1723777882.979284,-3798,1011,True,False
1723777882.99429,-3718,952,True,False
1723777883.006521,-3658,893,True,False
1723777883.020326,-3617,834,True,False
1723777883.026308,-3596,775,True,False
1723777883.034285,-3594,716,True,False
1723777883.046493,-3612,657,True,False
1723777883.056261,-3649,598,True,False
1723777883.131412,-3686,539,True,False
1723777883.149596,-3743,480,True,False
1723777883.173399,-3819,421,True,False
1723777883.201397,-3914,362,True,False
1723777883.262483,-3914,362,True,False
1723777883.262538,-4009,303,True,False
1723777883.382525,-4009,303,True,False
1723777883.382612,-4104,244,True,False
1723777883.483412,-4199,185,True,False
1723777883.487347,-4294,162,True,False
1723777883.489274,-4389,175,True,False
1723777883.491285,-4484,225,True,False
1723777883.492276,-4362,275,True,False
1723777883.494269,-4240,397,True,False
1723777883.497309,-4118,299,True,False
1723777883.498265,-4016,201,True,False
1723777883.500262,-3914,140,True,False
1723777883.503296,-3831,115,True,False
1723777883.506546,-3748,126,True,False
1723777883.508274,-3685,137,True,False
1723777883.510267,-3622,184,True,False
1723777883.512265,-3578,268,True,False
1723777883.515264,-3534,168,True,False
1723777883.516284,-3529,68,True,False
1723777883.518268,-3524,4,True,False
1723777883.520268,-3539,-23,True,False
1723777883.523269,-3554,-14,True,False
1723777883.524292,-3588,-5,True,False
1723777883.525262,-3622,76,True,False
1723777883.527265,-3656,194,True,False
1723777883.529262,-3710,312,True,False
1723777883.530301,-3764,246,True,False
1723777883.53329,-3818,216,True,False
1723777883.53428,-3911,259,True,False
1723777883.537271,-4004,338,True,False
1723777883.538254,-4116,417,True,False
1723777883.539249,-4228,312,True,False
1723777883.54229,-4340,244,True,False
1723777883.543272,-4235,248,True,False
1723777883.546306,-4130,288,True,False
1723777883.547269,-4044,328,True,False
1723777883.548262,-3958,441,True,False
1723777883.550296,-3872,334,True,False
1723777883.551275,-3806,227,True,False
1723777883.552266,-3740,193,True,False
1723777883.553339,-3674,195,True,False
1723777883.555252,-3647,269,True,False
1723777883.557291,-3620,380,True,False
1723777883.559294,-3593,271,True,False
